Ages 19 to 22,,,,,
Top Negative,,,Top Positive,,
feature,r,p,feature,r,p
daughter,-0.1044942829,3.40293390231635E-173,semester,0.1344708455,5.50586945982925E-296
my kids,-0.1019345093,5.80590734448078E-166,fuck,0.1149640026,6.88814560640923E-209
my son,-0.0977567256,2.17043231042647E-153,21st,0.1112397732,4.56692104905909E-201
copy and,-0.0953718814,1.01058112562223E-145,this semester,0.1103042205,9.32230623407131E-198
copy and paste,-0.0943035594,2.04362268306953E-142,the semester,0.1002909311,6.34683176315671E-163
my daughter,-0.0937757872,2.11308322020758E-140,21st birthday,0.0950156796,1.10678419206463E-145
the kids,-0.0934048718,9.63573413411354E-139,campus,0.0939561667,1.29144575747347E-142
and paste,-0.0932220923,3.95938702811551E-139,shit,0.0915299929,4.28733608599382E-133
kids,-0.0910817166,3.10627133027745E-132,studying,0.0906115292,3.32545021271166E-132
and paste this,-0.0905349458,4.86321435868131E-131,fucking,0.0896364717,8.55804466721306E-127
paste,-0.0901791959,4.61058257447625E-130,classes,0.0880875738,9.18779553323956E-125
your status,-0.0901098084,5.25196361299001E-130,apartment,0.0831198621,7.43941564977453E-111
copy,-0.0895138685,1.1558463498431E-128,fuckin,0.0822765468,1.78748740806129E-107
paste this,-0.0890999415,7.84636304213291E-127,in the library,0.0820775339,3.76492421509564E-108
this to your,-0.0889671155,3.48569062050655E-126,exam,0.0804644683,7.39502667076499E-104
fb friends,-0.0874721278,4.13447799918233E-122,next semester,0.0783683433,2.24500838662891E-098
repost,-0.08649106,7.07914058919932E-119,roommate,0.0779528026,2.78247685176303E-097
school tomorrow,-0.0852397179,5.17116221695536E-116,of classes,0.0771812979,2.73703390725146E-095
to your status,-0.0826807737,8.74746544168822E-109,on campus,0.0771098369,3.77470948956966E-095
this on your,-0.08225743,1.31717991975511E-107,study,0.0765607797,1.18235375805191E-093
post,-0.0817127359,5.83719900530905E-107,go to class,0.076216218,7.72085032140461E-093
status and,-0.0816274662,1.36623202201358E-106,uni,0.0756750627,1.51974559419691E-091
put this,-0.0811519504,3.87714713590136E-105,of the semester,0.0755855625,2.64089792482483E-091
status for,-0.0811250772,3.36009811881706E-105,wanna,0.0746616221,7.06063305562144E-089
paste this to,-0.0806444483,4.34897272140355E-103,midterm,0.0737264568,9.8562386665508E-087
children,-0.0796084454,9.41710628232624E-101,hit me up,0.0718239044,1.89258786637307E-081
school,-0.0795307408,9.89599861086736E-101,to study,0.0714658191,3.04785442636331E-081
this as,-0.0783747702,5.69880649644893E-098,finals,0.07100114,2.92663262342983E-080
kids are,-0.0781903733,6.37981082619348E-097,day of classes,0.0705041902,4.51996294481178E-079
status if,-0.0778235264,1.70301175490074E-096,im,0.070249166,1.64565965069319E-078
your status for,-0.0777370966,2.35697369092113E-096,haha,0.0702078567,4.82916334277501E-078
as your status,-0.0772812212,4.25779745369329E-095,fucked,0.0697566973,2.33607082011928E-076
on your status,-0.0767221753,1.98102807719927E-093,lab,0.0697053087,2.94527370184819E-077
put this on,-0.0765842192,3.78783662479651E-093,fml,0.0695209134,8.44942306695729E-077
no school,-0.076430714,3.77484429748219E-093,college,0.0679427778,3.0320420062517E-073
this as your,-0.0762637645,1.47125411667293E-092,professor,0.0678026389,6.21658259401483E-073
as your,-0.0760505374,4.55781586092961E-092,bitches,0.0672299842,1.23602051025315E-071
family and friends,-0.0760233737,3.495787229744E-091,last final,0.066981951,4.11726435846189E-071
status if you,-0.0755006639,1.08254697504691E-090,class tomorrow,0.0667715253,1.2703081590879E-070
your wall,-0.0741843139,3.69011485144893E-087,dorm,0.0666539993,2.05378417084331E-070
your status if,-0.0740335424,7.34749584546312E-087,fuck you,0.0664653092,3.05821781482137E-069
. copy and,-0.0739020831,8.51302845914922E-087,the library,0.0662577755,2.12003615807611E-069
copy &,-0.0736160461,5.95014716153707E-086,library,0.0661766891,2.82523851964833E-069
post this,-0.0734218551,3.44775291461961E-085,lectures,0.0658690899,1.07473765898144E-068
re-post,-0.0733904858,6.30482674402722E-085,final,0.0649025635,2.31918761627107E-066
please copy,-0.0733651223,1.70470954893328E-085,<3,0.0643355067,1.22108685009463E-060
husband,-0.0729622307,3.20444331626506E-082,this paper,0.0642992472,2.65162254261811E-065
heart for a,-0.0729102906,3.58696255558594E-084,21,0.0633089835,2.97332710506157E-063
if you agree,-0.0720685765,1.90579579587906E-082,interview,0.0633073053,3.06241781947234E-063
to all my,-0.0718653658,4.86671159944478E-082,misses,0.0627797819,9.77248156627116E-062
your status and,-0.0717688955,8.34475187918165E-082,drunk,0.0626750829,7.269352168119E-062
you agree,-0.0713272989,9.66769557098049E-081,paper,0.0622455596,4.94658904325654E-061
. i am,-0.0708412905,2.87095131075784E-079,roomie,0.0621511741,1.11876863118653E-060
ap,-0.0706583985,1.87734948950943E-079,damn,0.0621363409,1.95618897799353E-060
prom,-0.070572054,4.9981621331981E-079,this shit,0.061926942,3.6708140544871E-060
. if you,-0.0704729158,6.03238034008662E-079,go home,0.0618510926,8.7639219696642E-060
your status .,-0.0703066055,3.97130271758639E-078,page paper,0.06150347,1.49857580254312E-059
if you have,-0.0701722314,2.79379413840308E-077,i wanna,0.0611885281,1.21274240273069E-058
daughters,-0.0699339092,2.41470697365662E-077,roommates,0.0605930528,1.00512259442621E-057
repost this,-0.0696256296,2.47634834282215E-076,tattoo,0.0596141925,1.23022353156336E-055
", copy and",-0.0695543906,6.77219757590301E-076,class today,0.0595814095,1.09272701138198E-055
parent,-0.0688658737,9.30005861750378E-075,hahaha,0.0591916553,9.2090126890469E-055
homecoming,-0.0688478221,4.16624520984626E-075,wat,0.0584782403,1.3891709276042E-053
your heart for,-0.068642081,2.76543935073493E-074,cant,0.0583656165,2.29649987939452E-053
& paste,-0.0683645223,8.36219963775732E-074,sem,0.0579993221,1.17931850176723E-052
son,-0.0681637078,9.21361271320685E-074,ko,0.0578807647,1.99235565222011E-052
your hand for,-0.0679324764,8.4076380246487E-073,ka,0.0578780244,1.99193429718713E-052
will hold your,-0.0679074266,1.05938593507509E-072,done with,0.0571473861,6.50505615414129E-051
copy & paste,-0.0677746089,1.69500801341376E-072,na,0.0571372574,4.9275210955758E-051
& paste this,-0.0674064421,9.01317210434309E-072,bullshit,0.0566747338,5.03527066882833E-050
a cure,-0.0671277125,6.06280169834689E-071,bitch,0.0566483806,4.0807237244094E-050
honor,-0.0669477407,6.75609046505236E-071,tym,0.0565394607,6.74134380085649E-050
to your wall,-0.0666113986,5.90186169105867E-070,class,0.0558257157,1.49143468612981E-048
son's,-0.0662364656,3.38544082892242E-069,dnt,0.055820122,1.58110768342237E-048
we have,-0.0660341344,1.21396659444335E-068,got off work,0.0557626633,1.77784739516129E-048
you know someone,-0.0652892636,2.78684556398016E-067,cant wait to,0.0556249457,6.53321525891842E-048
repost if,-0.0652864512,1.18389036286988E-066,hit me,0.0553293684,1.73723034530653E-047
status,-0.0651854453,4.06574092604019E-067,shitty,0.0550152304,5.32962166349872E-047
copy this,-0.0651105946,6.44580147163741E-067,wants to go,0.0547606113,1.60374433727732E-046
for a lifetime,-0.0650537468,1.41527721589618E-066,lecture,0.0544423662,4.52882239825037E-046
please copy and,-0.0649556812,1.78821599295897E-066,off work,0.0543564975,8.08460970098183E-046
makes your life,-0.0649135731,5.08609541878203E-066,fucked up,0.0543541083,1.41485579794466E-045
let's see,-0.0647395456,4.15335682053038E-066,lyf,0.0542057092,1.15465936796155E-045
hold your heart,-0.0644040017,3.73042339215689E-065,bt,0.0539043936,3.96630945050262E-045
profile,-0.0642142419,4.74097002228965E-065,presentation,0.0538198573,5.7200133023424E-045
"little while ,",-0.064069213,1.86120121334586E-064,shift,0.0537692226,6.88548037962608E-045
please post this,-0.0640305195,1.27262061033462E-064,as fuck,0.0535731374,2.94728572624404E-044
friends and family,-0.0639335148,6.15100023261094E-064, =),0.0534609994,3.18333563395661E-044
have a great,-0.0639018788,5.4232519764056E-064,hai,0.0534469838,3.41082116933404E-044
cancer,-0.0638801294,3.94050266094825E-064,internship,0.0534384433,2.65351545137463E-044
prayer for,-0.063825121,4.3534307361273E-064,work work,0.0532028813,6.91549199937085E-044
my husband,-0.0637667412,2.58839726741533E-062,studying for,0.0529277081,2.45708847541956E-043
prayer,-0.0636986877,1.12922376405772E-063,bday,0.0528333401,6.09738335794837E-043
families,-0.0636700569,9.23616819407268E-064,papers,0.0527833831,4.00379003319979E-043
with the kids,-0.0633359984,9.08966533928742E-063,ill be,0.0525673676,8.79863307587523E-043
count you,-0.0633193938,3.7412860620082E-063,ppl,0.0524148458,1.78248541778505E-042
"while , but",-0.0633088996,6.85427377666286E-063,my room,0.05238279,2.60036000343635E-042
only glad to,-0.0632474389,5.34323311715484E-063,missin,0.0521889634,5.78315948570691E-042
glad to count,-0.0631091275,1.04249275881349E-062,.. haha,0.0521645759,5.83860202252649E-042
but will hold,-0.0631020888,1.78225673093446E-062,wen,0.0519820677,9.5713108519485E-042
